container_id,bol,empty_return_date,cost_attribute_code,cost_amount_usd
CONT1000031,BOL2024100031,2024-12-30,ACCESSORIAL,384.79
CONT1000032,BOL2024100032,2024-06-12,BASE,2930.04
CONT1000032,BOL2024100032,2024-06-12,FUEL,623.64
CONT1000032,BOL2024100032,2024-06-12,CHASSIS,602.79
CONT1000033,BOL2024100033,2025-10-11,BASE,4136.96
CONT1000033,BOL2024100033,2025-10-11,FUEL,893.69
CONT1000033,BOL2024100033,2025-10-11,PRE_PULL,1242.91
CONT1000034,BOL2024100034,2024-05-21,BASE,2854.42
CONT1000034,BOL2024100034,2024-05-21,FUEL,383.84
CONT1000034,BOL2024100034,2024-05-21,DEMURRAGE,1800.59
CONT1000034,BOL2024100034,2024-05-21,DETENTION,2069.66
CONT1000034,BOL2024100034,2024-05-21,PRE_PULL,918.41
CONT1000034,BOL2024100034,2024-05-21,CHASSIS,135.79
CONT1000035,BOL2024100035,2025-01-08,BASE,8811.48
CONT1000035,BOL2024100035,2025-01-08,FUEL,1701.03
CONT1000035,BOL2024100035,2025-01-08,CHASSIS,174.89
CONT1000036,BOL2024100036,2025-08-13,BASE,3834.78
CONT1000036,BOL2024100036,2025-08-13,FUEL,749.83
CONT1000036,BOL2024100036,2025-08-13,CHASSIS,208.79
CONT1000037,BOL2024100037,2024-08-22,BASE,4139.01
CONT1000037,BOL2024100037,2024-08-22,FUEL,632.63
CONT1000037,BOL2024100037,2024-08-22,DETENTION,905.83
CONT1000037,BOL2024100037,2024-08-22,STORAGE,597.43
CONT1000037,BOL2024100037,2024-08-22,PRE_PULL,1101.06
CONT1000037,BOL2024100037,2024-08-22,ACCESSORIAL,799.69
CONT1000038,BOL2024100038,2025-06-26,BASE,4586.14
CONT1000038,BOL2024100038,2025-06-26,FUEL,745.11
CONT1000038,BOL2024100038,2025-06-26,DETENTION,356.18
CONT1000038,BOL2024100038,2025-06-26,CHASSIS,460.54
CONT1000039,BOL2024100039,2024-04-22,BASE,2957.52
CONT1000039,BOL2024100039,2024-04-22,FUEL,282.31
CONT1000039,BOL2024100039,2024-04-22,CHASSIS,219.68
CONT1000039,BOL2024100039,2024-04-22,ACCESSORIAL,523.91
CONT1000040,BOL2024100040,2024-09-22,BASE,2447.94
CONT1000040,BOL2024100040,2024-09-22,FUEL,431.81
CONT1000040,BOL2024100040,2024-09-22,DEMURRAGE,3052.84
CONT1000040,BOL2024100040,2024-09-22,DETENTION,2187.96
CONT1000040,BOL2024100040,2024-09-22,PRE_PULL,1103.77
CONT1000040,BOL2024100040,2024-09-22,CHASSIS,633.88
CONT1000041,BOL2024100041,2025-06-07,BASE,4813.62
CONT1000041,BOL2024100041,2025-06-07,FUEL,486.56
CONT1000041,BOL2024100041,2025-06-07,DEMURRAGE,694.38
CONT1000041,BOL2024100041,2025-06-07,STORAGE,424.56
CONT1000041,BOL2024100041,2025-06-07,PRE_PULL,454.84
CONT1000042,BOL2024100042,2024-04-11,BASE,2780.16
CONT1000042,BOL2024100042,2024-04-11,FUEL,428.88
CONT1000043,BOL2024100043,2025-04-14,BASE,2735.31
CONT1000043,BOL2024100043,2025-04-14,FUEL,534.5
CONT1000043,BOL2024100043,2025-04-14,PRE_PULL,571.43
CONT1000044,BOL2024100044,2024-07-25,BASE,7324.28
CONT1000044,BOL2024100044,2024-07-25,FUEL,1064.46
CONT1000044,BOL2024100044,2024-07-25,CHASSIS,575.09
CONT1000045,BOL2024100045,2025-09-07,BASE,5058.09
CONT1000045,BOL2024100045,2025-09-07,FUEL,652.63
CONT1000045,BOL2024100045,2025-09-07,PRE_PULL,976.32
CONT1000045,BOL2024100045,2025-09-07,CHASSIS,552.32
CONT1000046,BOL2024100046,2025-10-02,BASE,9496.62
CONT1000046,BOL2024100046,2025-10-02,FUEL,1201.2
CONT1000046,BOL2024100046,2025-10-02,CHASSIS,640.09
CONT1000047,BOL2024100047,2025-06-19,BASE,5130.36
CONT1000047,BOL2024100047,2025-06-19,FUEL,704.36
CONT1000047,BOL2024100047,2025-06-19,ACCESSORIAL,324.37
CONT1000048,BOL2024100048,2024-08-23,BASE,3239.5
CONT1000048,BOL2024100048,2024-08-23,FUEL,301.13
CONT1000048,BOL2024100048,2024-08-23,CHASSIS,293.71
CONT1000049,BOL2024100049,2024-06-30,BASE,4393.04
CONT1000049,BOL2024100049,2024-06-30,FUEL,891.94
CONT1000049,BOL2024100049,2024-06-30,STORAGE,207.01
CONT1000049,BOL2024100049,2024-06-30,CHASSIS,170.43
CONT1000050,BOL2024100050,2025-10-27,BASE,6041.74
CONT1000050,BOL2024100050,2025-10-27,FUEL,805.92
CONT1000050,BOL2024100050,2025-10-27,PRE_PULL,514.36
CONT1000051,BOL2024100051,2024-10-11,BASE,2994.47
CONT1000051,BOL2024100051,2024-10-11,FUEL,581.07
CONT1000051,BOL2024100051,2024-10-11,STORAGE,43.93
CONT1000051,BOL2024100051,2024-10-11,PRE_PULL,630.34
CONT1000052,BOL2024100052,2025-05-23,BASE,4529.78
CONT1000052,BOL2024100052,2025-05-23,FUEL,852.18
CONT1000052,BOL2024100052,2025-05-23,PRE_PULL,1080.42
CONT1000052,BOL2024100052,2025-05-23,CHASSIS,410.94
CONT1000053,BOL2024100053,2025-09-12,BASE,4016.61
CONT1000053,BOL2024100053,2025-09-12,FUEL,722.04
CONT1000053,BOL2024100053,2025-09-12,DEMURRAGE,508.03
CONT1000053,BOL2024100053,2025-09-12,DETENTION,371.76
CONT1000053,BOL2024100053,2025-09-12,STORAGE,144.1
CONT1000054,BOL2024100054,2025-01-27,BASE,6697.15
CONT1000054,BOL2024100054,2025-01-27,FUEL,1413.12
CONT1000054,BOL2024100054,2025-01-27,CHASSIS,606.98
CONT1000055,BOL2024100055,2025-09-15,BASE,3576.48
CONT1000055,BOL2024100055,2025-09-15,FUEL,627.77
CONT1000055,BOL2024100055,2025-09-15,DEMURRAGE,1261.58
CONT1000055,BOL2024100055,2025-09-15,DETENTION,655.82
CONT1000056,BOL2024100056,2024-03-09,BASE,2664.08
CONT1000056,BOL2024100056,2024-03-09,FUEL,566.94
CONT1000056,BOL2024100056,2024-03-09,PRE_PULL,446.15
CONT1000056,BOL2024100056,2024-03-09,CHASSIS,372.8
CONT1000057,BOL2024100057,2024-11-04,BASE,3713.82
CONT1000057,BOL2024100057,2024-11-04,FUEL,508.6
CONT1000057,BOL2024100057,2024-11-04,PRE_PULL,587.85
CONT1000057,BOL2024100057,2024-11-04,CHASSIS,433.15
CONT1000058,BOL2024100058,2024-11-27,BASE,3971.33
CONT1000058,BOL2024100058,2024-11-27,FUEL,767.4
CONT1000058,BOL2024100058,2024-11-27,DETENTION,578.37
CONT1000059,BOL2024100059,2025-11-20,BASE,2918.36
CONT1000059,BOL2024100059,2025-11-20,FUEL,610.99
CONT1000059,BOL2024100059,2025-11-20,PRE_PULL,917.75
CONT1000059,BOL2024100059,2025-11-20,CHASSIS,128.93
CONT1000059,BOL2024100059,2025-11-20,ACCESSORIAL,256.0
CONT1000060,BOL2024100060,2024-06-10,BASE,4382.85
CONT1000060,BOL2024100060,2024-06-10,FUEL,490.96
CONT1000060,BOL2024100060,2024-06-10,DEMURRAGE,2484.83
CONT1000060,BOL2024100060,2024-06-10,DETENTION,958.29
CONT1000060,BOL2024100060,2024-06-10,CHASSIS,397.18
CONT1000061,BOL2024100061,2024-07-18,BASE,3165.28
CONT1000061,BOL2024100061,2024-07-18,FUEL,611.87
CONT1000061,BOL2024100061,2024-07-18,DEMURRAGE,1160.16
CONT1000061,BOL2024100061,2024-07-18,DETENTION,794.0
CONT1000061,BOL2024100061,2024-07-18,CHASSIS,347.75
CONT1000062,BOL2024100062,2025-05-02,BASE,4117.12
CONT1000062,BOL2024100062,2025-05-02,FUEL,578.44
CONT1000062,BOL2024100062,2025-05-02,PRE_PULL,659.84
CONT1000062,BOL2024100062,2025-05-02,ACCESSORIAL,397.44
CONT1000063,BOL2024100063,2025-08-15,BASE,4054.16
CONT1000063,BOL2024100063,2025-08-15,FUEL,844.87
CONT1000063,BOL2024100063,2025-08-15,CHASSIS,262.76
CONT1000064,BOL2024100064,2025-05-04,BASE,4125.88
CONT1000064,BOL2024100064,2025-05-04,FUEL,848.46
CONT1000064,BOL2024100064,2025-05-04,PRE_PULL,579.5
CONT1000065,BOL2024100065,2024-10-04,BASE,4094.72
CONT1000065,BOL2024100065,2024-10-04,FUEL,369.3
CONT1000065,BOL2024100065,2024-10-04,DEMURRAGE,361.18
CONT1000065,BOL2024100065,2024-10-04,CHASSIS,221.32
CONT1000066,BOL2024100066,2025-09-25,BASE,3108.22
CONT1000066,BOL2024100066,2025-09-25,FUEL,331.54
CONT1000066,BOL2024100066,2025-09-25,DEMURRAGE,1509.29
CONT1000066,BOL2024100066,2025-09-25,DETENTION,1104.16
CONT1000066,BOL2024100066,2025-09-25,STORAGE,938.99
CONT1000067,BOL2024100067,2025-04-04,BASE,3096.58
CONT1000067,BOL2024100067,2025-04-04,FUEL,564.94
CONT1000068,BOL2024100068,2024-10-26,BASE,9491.28
CONT1000068,BOL2024100068,2024-10-26,FUEL,1773.3
CONT1000068,BOL2024100068,2024-10-26,DETENTION,504.58
CONT1000068,BOL2024100068,2024-10-26,STORAGE,202.55
CONT1000068,BOL2024100068,2024-10-26,CHASSIS,235.61
CONT1000069,BOL2024100069,2024-09-17,BASE,5086.32
CONT1000069,BOL2024100069,2024-09-17,FUEL,837.69
CONT1000069,BOL2024100069,2024-09-17,CHASSIS,500.14
CONT1000070,BOL2024100070,2024-03-27,BASE,4723.92
CONT1000070,BOL2024100070,2024-03-27,FUEL,433.6
CONT1000070,BOL2024100070,2024-03-27,DETENTION,291.05
CONT1000070,BOL2024100070,2024-03-27,STORAGE,227.3
CONT1000070,BOL2024100070,2024-03-27,CHASSIS,197.9
CONT1000070,BOL2024100070,2024-03-27,ACCESSORIAL,582.45
CONT1000071,BOL2024100071,2024-05-04,BASE,2745.08
CONT1000071,BOL2024100071,2024-05-04,FUEL,378.65
CONT1000071,BOL2024100071,2024-05-04,CHASSIS,320.72
CONT1000072,BOL2024100072,2025-04-16,BASE,7238.67
CONT1000072,BOL2024100072,2025-04-16,FUEL,910.32
CONT1000072,BOL2024100072,2025-04-16,DEMURRAGE,1975.15
CONT1000072,BOL2024100072,2025-04-16,DETENTION,964.83
CONT1000072,BOL2024100072,2025-04-16,STORAGE,853.64
CONT1000073,BOL2024100073,2024-10-30,BASE,5683.6
CONT1000073,BOL2024100073,2024-10-30,FUEL,1003.51
CONT1000073,BOL2024100073,2024-10-30,CHASSIS,379.65
CONT1000074,BOL2024100074,2025-05-13,BASE,5057.6
CONT1000074,BOL2024100074,2025-05-13,FUEL,742.8
CONT1000074,BOL2024100074,2025-05-13,CHASSIS,121.62
CONT1000075,BOL2024100075,2024-08-17,BASE,3698.03
CONT1000075,BOL2024100075,2024-08-17,FUEL,362.34
CONT1000075,BOL2024100075,2024-08-17,PRE_PULL,1023.49
CONT1000075,BOL2024100075,2024-08-17,ACCESSORIAL,488.45
CONT1000076,BOL2024100076,2025-08-20,BASE,2970.75
CONT1000076,BOL2024100076,2025-08-20,FUEL,310.01
CONT1000076,BOL2024100076,2025-08-20,DETENTION,1411.05
CONT1000076,BOL2024100076,2025-08-20,CHASSIS,268.04
CONT1000077,BOL2024100077,2025-01-18,BASE,3593.23
CONT1000077,BOL2024100077,2025-01-18,FUEL,329.82
CONT1000077,BOL2024100077,2025-01-18,CHASSIS,430.84
CONT1000078,BOL2024100078,2025-07-16,BASE,3373.96
CONT1000078,BOL2024100078,2025-07-16,FUEL,586.23
CONT1000079,BOL2024100079,2025-08-27,BASE,2962.59
CONT1000079,BOL2024100079,2025-08-27,FUEL,599.33
CONT1000079,BOL2024100079,2025-08-27,CHASSIS,630.66
CONT1000080,BOL2024100080,2024-08-19,BASE,3154.99
CONT1000080,BOL2024100080,2024-08-19,FUEL,480.96
CONT1000080,BOL2024100080,2024-08-19,CHASSIS,599.55
CONT1000080,BOL2024100080,2024-08-19,ACCESSORIAL,103.03
CONT1000081,BOL2024100081,2024-12-16,BASE,5901.78
CONT1000081,BOL2024100081,2024-12-16,FUEL,903.96
CONT1000081,BOL2024100081,2024-12-16,DEMURRAGE,250.14
CONT1000081,BOL2024100081,2024-12-16,DETENTION,162.21
CONT1000082,BOL2024100082,2024-10-10,BASE,4197.29
CONT1000082,BOL2024100082,2024-10-10,FUEL,456.71
CONT1000082,BOL2024100082,2024-10-10,DEMURRAGE,2313.26
CONT1000082,BOL2024100082,2024-10-10,CHASSIS,396.67
CONT1000083,BOL2024100083,2025-08-18,BASE,4331.74
CONT1000083,BOL2024100083,2025-08-18,FUEL,542.92
CONT1000083,BOL2024100083,2025-08-18,DEMURRAGE,1844.53
CONT1000083,BOL2024100083,2025-08-18,STORAGE,499.49
CONT1000083,BOL2024100083,2025-08-18,PRE_PULL,860.44
CONT1000083,BOL2024100083,2025-08-18,CHASSIS,588.95
CONT1000084,BOL2024100084,2024-10-06,BASE,3075.43
CONT1000084,BOL2024100084,2024-10-06,FUEL,389.86
CONT1000084,BOL2024100084,2024-10-06,PRE_PULL,1031.96
CONT1000085,BOL2024100085,2025-06-19,BASE,4271.65
CONT1000085,BOL2024100085,2025-06-19,FUEL,693.18
CONT1000085,BOL2024100085,2025-06-19,PRE_PULL,914.77
CONT1000085,BOL2024100085,2025-06-19,CHASSIS,638.05
CONT1000086,BOL2024100086,2024-09-27,BASE,2409.44
CONT1000086,BOL2024100086,2024-09-27,FUEL,517.12
CONT1000086,BOL2024100086,2024-09-27,DEMURRAGE,3300.78
CONT1000086,BOL2024100086,2024-09-27,DETENTION,2825.44
CONT1000086,BOL2024100086,2024-09-27,STORAGE,1103.67
CONT1000087,BOL2024100087,2024-07-29,BASE,3355.63
CONT1000087,BOL2024100087,2024-07-29,FUEL,511.84
CONT1000087,BOL2024100087,2024-07-29,DEMURRAGE,1031.75
CONT1000087,BOL2024100087,2024-07-29,DETENTION,1062.08
CONT1000087,BOL2024100087,2024-07-29,STORAGE,809.06
CONT1000087,BOL2024100087,2024-07-29,PRE_PULL,576.05
CONT1000087,BOL2024100087,2024-07-29,CHASSIS,546.43
CONT1000088,BOL2024100088,2024-09-13,BASE,4041.34
CONT1000088,BOL2024100088,2024-09-13,FUEL,694.1
CONT1000088,BOL2024100088,2024-09-13,DEMURRAGE,1590.76
CONT1000088,BOL2024100088,2024-09-13,DETENTION,1907.78
CONT1000088,BOL2024100088,2024-09-13,CHASSIS,224.02
CONT1000088,BOL2024100088,2024-09-13,ACCESSORIAL,276.11
CONT1000089,BOL2024100089,2024-06-23,BASE,2528.25
CONT1000089,BOL2024100089,2024-06-23,FUEL,338.03
CONT1000090,BOL2024100090,2025-09-12,BASE,4524.99
CONT1000090,BOL2024100090,2025-09-12,FUEL,720.48
CONT1000090,BOL2024100090,2025-09-12,CHASSIS,240.62
CONT1000091,BOL2024100091,2025-05-05,BASE,5081.01
CONT1000091,BOL2024100091,2025-05-05,FUEL,468.14
CONT1000091,BOL2024100091,2025-05-05,ACCESSORIAL,168.43
CONT1000092,BOL2024100092,2025-05-18,BASE,4908.59
CONT1000092,BOL2024100092,2025-05-18,FUEL,589.37
CONT1000093,BOL2024100093,2025-06-19,BASE,5763.31
CONT1000093,BOL2024100093,2025-06-19,FUEL,827.65
CONT1000093,BOL2024100093,2025-06-19,CHASSIS,174.39
CONT1000094,BOL2024100094,2024-10-07,BASE,9451.94
CONT1000094,BOL2024100094,2024-10-07,FUEL,1524.73
CONT1000094,BOL2024100094,2024-10-07,CHASSIS,236.99
CONT1000095,BOL2024100095,2024-07-12,BASE,5808.31
CONT1000095,BOL2024100095,2024-07-12,FUEL,802.79
CONT1000095,BOL2024100095,2024-07-12,PRE_PULL,580.81
CONT1000095,BOL2024100095,2024-07-12,CHASSIS,606.65
CONT1000096,BOL2024100096,2025-04-12,BASE,3545.59
CONT1000096,BOL2024100096,2025-04-12,FUEL,776.03
CONT1000096,BOL2024100096,2025-04-12,CHASSIS,593.34
CONT1000097,BOL2024100097,2024-04-01,BASE,5239.37
CONT1000097,BOL2024100097,2024-04-01,FUEL,1100.6
CONT1000097,BOL2024100097,2024-04-01,CHASSIS,169.56
CONT1000098,BOL2024100098,2025-09-13,BASE,5976.49
CONT1000098,BOL2024100098,2025-09-13,FUEL,1002.75
CONT1000098,BOL2024100098,2025-09-13,CHASSIS,143.41
CONT1000099,BOL2024100099,2025-04-22,BASE,4329.19
CONT1000099,BOL2024100099,2025-04-22,FUEL,694.14
CONT1000099,BOL2024100099,2025-04-22,CHASSIS,610.9
CONT1000100,BOL2024100100,2025-05-15,BASE,3770.74
CONT1000100,BOL2024100100,2025-05-15,FUEL,825.77
CONT1000100,BOL2024100100,2025-05-15,DETENTION,1417.47
CONT1000100,BOL2024100100,2025-05-15,CHASSIS,173.05
CONT1000101,BOL2024100101,2024-08-02,BASE,3810.36
CONT1000101,BOL2024100101,2024-08-02,FUEL,456.53
CONT1000101,BOL2024100101,2024-08-02,DEMURRAGE,80.76
CONT1000101,BOL2024100101,2024-08-02,PRE_PULL,976.74
CONT1000102,BOL2024100102,2025-04-08,BASE,5017.03
CONT1000102,BOL2024100102,2025-04-08,FUEL,942.86
CONT1000102,BOL2024100102,2025-04-08,CHASSIS,134.26
CONT1000103,BOL2024100103,2024-06-29,BASE,2673.03
CONT1000103,BOL2024100103,2024-06-29,FUEL,458.52
CONT1000103,BOL2024100103,2024-06-29,PRE_PULL,950.57
CONT1000103,BOL2024100103,2024-06-29,CHASSIS,222.05
CONT1000103,BOL2024100103,2024-06-29,ACCESSORIAL,714.96
CONT1000104,BOL2024100104,2025-01-10,BASE,3055.81
CONT1000104,BOL2024100104,2025-01-10,FUEL,292.98
CONT1000104,BOL2024100104,2025-01-10,PRE_PULL,526.27
CONT1000104,BOL2024100104,2025-01-10,CHASSIS,230.81
CONT1000105,BOL2024100105,2024-12-03,BASE,5423.35
CONT1000105,BOL2024100105,2024-12-03,FUEL,813.02
CONT1000105,BOL2024100105,2024-12-03,CHASSIS,239.58
CONT1000106,BOL2024100106,2024-04-08,BASE,2776.64
CONT1000106,BOL2024100106,2024-04-08,FUEL,292.45
CONT1000106,BOL2024100106,2024-04-08,CHASSIS,314.32
CONT1000107,BOL2024100107,2024-03-26,BASE,4518.45
CONT1000107,BOL2024100107,2024-03-26,FUEL,853.73
CONT1000107,BOL2024100107,2024-03-26,DETENTION,457.89
CONT1000107,BOL2024100107,2024-03-26,STORAGE,180.25
CONT1000107,BOL2024100107,2024-03-26,PRE_PULL,1161.04
CONT1000107,BOL2024100107,2024-03-26,CHASSIS,371.08
CONT1000108,BOL2024100108,2024-10-04,BASE,2421.34
CONT1000108,BOL2024100108,2024-10-04,FUEL,335.82
CONT1000108,BOL2024100108,2024-10-04,CHASSIS,482.75
CONT1000109,BOL2024100109,2024-09-24,BASE,4900.12
CONT1000109,BOL2024100109,2024-09-24,FUEL,510.14
CONT1000109,BOL2024100109,2024-09-24,PRE_PULL,540.61
CONT1000109,BOL2024100109,2024-09-24,CHASSIS,201.48
CONT1000110,BOL2024100110,2025-11-05,BASE,2703.63
CONT1000110,BOL2024100110,2025-11-05,FUEL,323.9
CONT1000110,BOL2024100110,2025-11-05,CHASSIS,261.05
CONT1000111,BOL2024100111,2025-09-06,BASE,7245.23
CONT1000111,BOL2024100111,2025-09-06,FUEL,1174.81
CONT1000111,BOL2024100111,2025-09-06,PRE_PULL,1147.75
CONT1000111,BOL2024100111,2025-09-06,CHASSIS,203.42
CONT1000111,BOL2024100111,2025-09-06,ACCESSORIAL,847.89
CONT1000112,BOL2024100112,2024-05-08,BASE,3891.97
CONT1000112,BOL2024100112,2024-05-08,FUEL,637.3
CONT1000112,BOL2024100112,2024-05-08,CHASSIS,345.19
CONT1000112,BOL2024100112,2024-05-08,ACCESSORIAL,554.32
CONT1000113,BOL2024100113,2025-10-16,BASE,4625.21
CONT1000113,BOL2024100113,2025-10-16,FUEL,584.13
