container_id,bol,origin_port,destination_port,carrier,mode,sku_count,container_value_usd,criticality,planned_departure_date,planned_arrival_date,actual_arrival_date,delay_days,CUSTOMS_RELEASED,DELIVERED_TO_NODE,DESTINATION_GATE_OUT,DESTINATION_PORT_ARRIVAL,EMPTY_RETURNED,LOADED_ON_VESSEL,ORIGIN_GATE_IN,VESSEL_DEPARTED,VESSEL_DISCHARGE,port_arrival_to_discharge_days,discharge_to_customs_days,customs_to_gateout_days,gateout_to_delivery_days,delivery_to_empty_return_days,arrival_to_empty_return_days,ACCESSORIAL,BASE,CHASSIS,DEMURRAGE,DETENTION,FUEL,PRE_PULL,STORAGE,total_accessorial_cost,total_cost,has_accessorial_risk,delay_risk_label,recommended_action_label
CONT1000015,BOL2024100015,Shanghai,Long Beach,BlueWave,STANDARD_OCEAN,76,27064.7,LOW,2024-11-19,2024-12-19,2024-12-26,7,2025-01-01,2025-01-03,2025-01-01,2024-12-26,2025-01-10,2024-11-17,2024-11-16,2024-11-19,2024-12-28,2,4,0,2,7,15,0.0,4896.24,329.25,438.27,0.0,983.07,0.0,259.1,1026.62,6905.93,1,1,WAIT_AND_MONITOR
CONT1000016,BOL2024100016,Shanghai,Long Beach,PacificLine,PREMIUM_OCEAN,109,31106.88,MEDIUM,2024-11-18,2024-12-08,2024-12-09,1,2024-12-16,2024-12-23,2024-12-21,2024-12-09,2024-12-31,2024-11-17,2024-11-12,2024-11-18,2024-12-12,3,4,5,2,8,22,0.0,4820.14,624.56,0.0,0.0,577.45,0.0,0.0,624.56,6022.15,0,0,WAIT_AND_MONITOR
CONT1000017,BOL2024100017,Singapore,New York/New Jersey,OceanBridge,STANDARD_OCEAN,71,26736.5,MEDIUM,2024-09-28,2024-10-20,2024-11-05,16,2024-11-06,2024-11-09,2024-11-08,2024-11-05,2024-11-17,2024-09-26,2024-09-20,2024-09-28,2024-11-05,0,1,2,1,8,12,0.0,3657.9,0.0,1004.93,876.11,517.99,0.0,0.0,1881.04,6056.93,1,1,PRE_PULL_OR_PRIORITY_DRAYAGE
CONT1000018,BOL2024100018,Singapore,Savannah,PacificLine,STANDARD_OCEAN,117,37629.59,LOW,2024-09-26,2024-11-06,2024-11-08,2,2024-11-13,2024-11-18,2024-11-14,2024-11-08,2024-11-24,2024-09-24,2024-09-21,2024-09-26,2024-11-09,1,4,1,4,6,16,750.09,4649.19,128.66,0.0,0.0,741.93,0.0,0.0,878.75,6269.87,1,0,WAIT_AND_MONITOR
CONT1000019,BOL2024100019,Ho Chi Minh,New York/New Jersey,GlobalMar,STANDARD_OCEAN,138,19491.24,HIGH,2024-08-12,2024-09-03,2024-09-04,1,2024-09-08,2024-09-13,2024-09-10,2024-09-04,2024-09-20,2024-08-09,2024-08-05,2024-08-12,2024-09-07,3,1,2,3,7,16,0.0,4451.7,471.56,0.0,0.0,844.4,1042.01,0.0,1513.57,6809.67,1,0,WAIT_AND_MONITOR
CONT1000020,BOL2024100020,Busan,Los Angeles,BlueWave,STANDARD_OCEAN,48,33658.93,LOW,2024-04-22,2024-05-14,2024-05-14,0,2024-05-19,2024-05-24,2024-05-20,2024-05-14,2024-05-28,2024-04-19,2024-04-13,2024-04-22,2024-05-16,2,3,1,4,4,14,0.0,3790.58,533.23,0.0,0.0,627.05,0.0,0.0,533.23,4950.860000000001,0,0,WAIT_AND_MONITOR
CONT1000021,BOL2024100021,Singapore,New York/New Jersey,PacificLine,STANDARD_OCEAN,105,52732.23,MEDIUM,2024-03-06,2024-04-05,2024-04-09,4,2024-04-14,2024-04-18,2024-04-17,2024-04-09,2024-04-21,2024-03-03,2024-03-01,2024-03-06,2024-04-09,0,5,3,1,3,12,0.0,4794.65,0.0,0.0,0.0,1008.47,0.0,0.0,0.0,5803.12,0,0,WAIT_AND_MONITOR
CONT1000022,BOL2024100022,Ho Chi Minh,New York/New Jersey,PacificLine,PREMIUM_OCEAN,37,37041.19,MEDIUM,2024-09-14,2024-10-15,2024-10-15,0,2024-10-18,2024-10-24,2024-10-21,2024-10-15,2024-10-29,2024-09-13,2024-09-10,2024-09-14,2024-10-18,3,0,3,3,5,14,0.0,7435.55,127.53,0.0,0.0,986.82,0.0,0.0,127.53,8549.900000000001,0,0,WAIT_AND_MONITOR
CONT1000023,BOL2024100023,Singapore,Savannah,GlobalMar,STANDARD_OCEAN,36,53639.17,MEDIUM,2025-10-18,2025-11-15,2025-11-15,0,2025-11-15,2025-11-19,2025-11-17,2025-11-15,2025-11-25,2025-10-17,2025-10-14,2025-10-18,2025-11-15,0,0,2,2,6,10,0.0,3602.6,130.97,0.0,0.0,478.21,1201.92,0.0,1332.89,5413.7,1,0,WAIT_AND_MONITOR
CONT1000024,BOL2024100024,Yantian,New York/New Jersey,OceanBridge,STANDARD_OCEAN,75,55394.08,LOW,2025-04-09,2025-04-27,2025-04-29,2,2025-05-04,2025-05-04,2025-05-04,2025-04-29,2025-05-10,2025-04-08,2025-04-01,2025-04-09,2025-04-30,1,4,0,0,6,11,0.0,2763.66,0.0,0.0,0.0,517.97,0.0,0.0,0.0,3281.63,0,0,WAIT_AND_MONITOR
CONT1000025,BOL2024100025,Ho Chi Minh,Long Beach,PacificLine,STANDARD_OCEAN,84,17669.1,LOW,2024-04-18,2024-05-26,2024-05-29,3,2024-05-30,2024-06-04,2024-06-03,2024-05-29,2024-06-12,2024-04-17,2024-04-12,2024-04-18,2024-05-30,1,0,4,1,8,14,0.0,2873.26,600.16,0.0,0.0,367.78,724.02,0.0,1324.1799999999998,4565.22,1,0,WAIT_AND_MONITOR
CONT1000026,BOL2024100026,Singapore,Savannah,PacificLine,STANDARD_OCEAN,49,171919.76,LOW,2024-07-22,2024-08-13,2024-08-26,13,2024-08-28,2024-09-03,2024-09-01,2024-08-26,2024-09-06,2024-07-20,2024-07-17,2024-07-22,2024-08-28,2,0,4,2,3,11,0.0,2971.46,648.88,1555.38,0.0,330.75,0.0,631.02,2835.28,6137.490000000001,1,1,PRE_PULL_OR_PRIORITY_DRAYAGE
CONT1000027,BOL2024100027,Ho Chi Minh,Savannah,BlueWave,STANDARD_OCEAN,133,35177.99,HIGH,2025-09-05,2025-10-03,2025-10-03,0,2025-10-08,2025-10-11,2025-10-08,2025-10-03,2025-10-19,2025-09-02,2025-08-27,2025-09-05,2025-10-03,0,5,0,3,8,16,0.0,4336.36,582.81,0.0,0.0,750.51,1234.53,0.0,1817.34,6904.209999999999,1,0,WAIT_AND_MONITOR
CONT1000028,BOL2024100028,Shanghai,Los Angeles,GlobalMar,PREMIUM_OCEAN,69,67074.76,LOW,2024-11-10,2024-12-01,2024-12-08,7,2024-12-12,2024-12-16,2024-12-16,2024-12-08,2024-12-25,2024-11-09,2024-11-01,2024-11-10,2024-12-08,0,4,4,0,9,17,0.0,8809.24,263.13,261.6,400.44,796.64,0.0,302.03,1227.1999999999998,10833.08,1,1,WAIT_AND_MONITOR
CONT1000029,BOL2024100029,Ho Chi Minh,Los Angeles,BlueWave,STANDARD_OCEAN,40,95394.78,LOW,2025-05-12,2025-06-01,2025-06-08,7,2025-06-09,2025-06-14,2025-06-14,2025-06-08,2025-06-18,2025-05-09,2025-05-09,2025-05-12,2025-06-08,0,1,5,0,4,10,682.45,2901.12,0.0,185.24,0.0,549.58,1039.4,0.0,1907.0900000000001,5357.79,1,1,WAIT_AND_MONITOR
CONT1000030,BOL2024100030,Ningbo,Houston,NorthStar,STANDARD_OCEAN,116,32485.08,HIGH,2025-07-16,2025-08-08,2025-08-18,10,2025-08-25,2025-09-01,2025-08-28,2025-08-18,2025-09-09,2025-07-15,2025-07-11,2025-07-16,2025-08-20,2,5,3,4,8,22,0.0,3702.83,0.0,0.0,0.0,392.03,0.0,0.0,0.0,4094.8599999999997,0,1,UPGRADE_TO_PREMIUM_OPTION
CONT1000031,BOL2024100031,Ningbo,Savannah,OceanBridge,STANDARD_OCEAN,103,36277.51,MEDIUM,2024-11-15,2024-12-15,2024-12-17,2,2024-12-23,2024-12-27,2024-12-25,2024-12-17,2024-12-30,2024-11-14,2024-11-07,2024-11-15,2024-12-18,1,5,2,2,3,13,384.79,4599.39,307.22,0.0,0.0,626.96,0.0,0.0,692.01,5918.360000000001,0,0,WAIT_AND_MONITOR
CONT1000032,BOL2024100032,Busan,Savannah,NorthStar,STANDARD_OCEAN,65,104033.05,LOW,2024-05-03,2024-05-28,2024-05-28,0,2024-06-03,2024-06-04,2024-06-03,2024-05-28,2024-06-12,2024-05-02,2024-04-30,2024-05-03,2024-05-31,3,3,0,1,8,15,0.0,2930.04,602.79,0.0,0.0,623.64,0.0,0.0,602.79,4156.469999999999,0,0,WAIT_AND_MONITOR
CONT1000033,BOL2024100033,Shanghai,Seattle,BlueWave,STANDARD_OCEAN,66,60226.46,LOW,2025-08-25,2025-09-29,2025-09-29,0,2025-09-30,2025-10-04,2025-10-02,2025-09-29,2025-10-11,2025-08-23,2025-08-20,2025-08-25,2025-09-30,1,0,2,2,7,12,0.0,4136.96,0.0,0.0,0.0,893.69,1242.91,0.0,1242.91,6273.5599999999995,1,0,WAIT_AND_MONITOR
CONT1000034,BOL2024100034,Ho Chi Minh,Long Beach,BlueWave,STANDARD_OCEAN,23,49096.77,MEDIUM,2024-03-13,2024-04-22,2024-05-08,16,2024-05-10,2024-05-17,2024-05-14,2024-05-08,2024-05-21,2024-03-10,2024-03-08,2024-03-13,2024-05-09,1,1,4,3,4,13,0.0,2854.42,135.79,1800.59,2069.66,383.84,918.41,0.0,4924.45,8162.71,1,1,PRE_PULL_OR_PRIORITY_DRAYAGE
CONT1000035,BOL2024100035,Ningbo,Los Angeles,BlueWave,PREMIUM_OCEAN,79,85382.8,HIGH,2024-12-04,2024-12-20,2024-12-20,0,2024-12-26,2025-01-02,2024-12-29,2024-12-20,2025-01-08,2024-12-02,2024-11-30,2024-12-04,2024-12-23,3,3,3,4,6,19,0.0,8811.48,174.89,0.0,0.0,1701.03,0.0,0.0,174.89,10687.4,0,0,WAIT_AND_MONITOR
CONT1000036,BOL2024100036,Singapore,New York/New Jersey,OceanBridge,STANDARD_OCEAN,129,53666.62,HIGH,2025-07-06,2025-07-28,2025-08-01,4,2025-08-02,2025-08-11,2025-08-07,2025-08-01,2025-08-13,2025-07-04,2025-07-03,2025-07-06,2025-08-02,1,0,5,4,2,12,0.0,3834.78,208.79,0.0,0.0,749.83,0.0,0.0,208.79,4793.400000000001,0,0,WAIT_AND_MONITOR
CONT1000037,BOL2024100037,Ningbo,New York/New Jersey,NorthStar,STANDARD_OCEAN,118,70690.81,LOW,2024-07-13,2024-08-03,2024-08-12,9,2024-08-17,2024-08-21,2024-08-18,2024-08-12,2024-08-22,2024-07-11,2024-07-10,2024-07-13,2024-08-14,2,3,1,3,1,10,799.69,4139.01,0.0,0.0,905.83,632.63,1101.06,597.43,3404.0099999999998,8175.6500000000015,1,1,WAIT_AND_MONITOR
CONT1000038,BOL2024100038,Yantian,New York/New Jersey,NorthStar,STANDARD_OCEAN,21,57561.44,MEDIUM,2025-04-23,2025-06-03,2025-06-12,9,2025-06-17,2025-06-21,2025-06-17,2025-06-12,2025-06-26,2025-04-22,2025-04-17,2025-04-23,2025-06-13,1,4,0,4,5,14,0.0,4586.14,460.54,0.0,356.18,745.11,0.0,0.0,816.72,6147.97,1,1,UPGRADE_TO_PREMIUM_OPTION
CONT1000039,BOL2024100039,Singapore,Houston,BlueWave,STANDARD_OCEAN,94,23819.61,MEDIUM,2024-03-03,2024-04-02,2024-04-02,0,2024-04-09,2024-04-16,2024-04-14,2024-04-02,2024-04-22,2024-03-01,2024-02-26,2024-03-03,2024-04-04,2,5,5,2,6,20,523.91,2957.52,219.68,0.0,0.0,282.31,0.0,0.0,743.5899999999999,3983.4199999999996,0,0,WAIT_AND_MONITOR
CONT1000040,BOL2024100040,Shanghai,Long Beach,OceanBridge,STANDARD_OCEAN,43,125899.11,HIGH,2024-07-13,2024-08-17,2024-09-06,20,2024-09-12,2024-09-18,2024-09-15,2024-09-06,2024-09-22,2024-07-11,2024-07-10,2024-07-13,2024-09-07,1,5,3,3,4,16,0.0,2447.94,633.88,3052.84,2187.96,431.81,1103.77,0.0,6978.45,9858.199999999999,1,1,ESCALATE_TO_OPS
CONT1000041,BOL2024100041,Busan,Long Beach,GlobalMar,STANDARD_OCEAN,27,38879.52,LOW,2025-04-18,2025-05-13,2025-05-21,8,2025-05-29,2025-06-03,2025-05-31,2025-05-21,2025-06-07,2025-04-15,2025-04-11,2025-04-18,2025-05-24,3,5,2,3,4,17,0.0,4813.62,0.0,694.38,0.0,486.56,454.84,424.56,1573.78,6873.960000000001,1,1,WAIT_AND_MONITOR
CONT1000042,BOL2024100042,Busan,Savannah,BlueWave,STANDARD_OCEAN,11,198014.01,MEDIUM,2024-02-21,2024-03-30,2024-03-30,0,2024-04-03,2024-04-08,2024-04-05,2024-03-30,2024-04-11,2024-02-20,2024-02-16,2024-02-21,2024-03-30,0,4,2,3,3,12,0.0,2780.16,0.0,0.0,0.0,428.88,0.0,0.0,0.0,3209.04,0,0,WAIT_AND_MONITOR
CONT1000043,BOL2024100043,Shanghai,Long Beach,OceanBridge,STANDARD_OCEAN,131,41130.31,LOW,2025-02-20,2025-03-25,2025-03-29,4,2025-04-01,2025-04-05,2025-04-01,2025-03-29,2025-04-14,2025-02-17,2025-02-13,2025-02-20,2025-03-31,2,1,0,4,9,16,0.0,2735.31,0.0,0.0,0.0,534.5,571.43,0.0,571.43,3841.24,0,0,WAIT_AND_MONITOR
CONT1000044,BOL2024100044,Ningbo,New York/New Jersey,BlueWave,PREMIUM_OCEAN,75,65689.89,HIGH,2024-06-17,2024-07-13,2024-07-16,3,2024-07-23,2024-07-24,2024-07-24,2024-07-16,2024-07-25,2024-06-14,2024-06-12,2024-06-17,2024-07-18,2,5,1,0,1,9,0.0,7324.28,575.09,0.0,0.0,1064.46,0.0,0.0,575.09,8963.83,0,0,WAIT_AND_MONITOR
CONT1000045,BOL2024100045,Busan,Seattle,NorthStar,PREMIUM_OCEAN,56,68007.78,LOW,2025-07-23,2025-08-21,2025-08-21,0,2025-08-24,2025-08-29,2025-08-26,2025-08-21,2025-09-07,2025-07-20,2025-07-14,2025-07-23,2025-08-23,2,1,2,3,9,17,0.0,5058.09,552.32,0.0,0.0,652.63,976.32,0.0,1528.64,7239.36,1,0,WAIT_AND_MONITOR
CONT1000046,BOL2024100046,Yantian,Long Beach,BlueWave,PREMIUM_OCEAN,88,22355.86,LOW,2025-08-16,2025-09-16,2025-09-18,2,2025-09-20,2025-09-26,2025-09-22,2025-09-18,2025-10-02,2025-08-13,2025-08-13,2025-08-16,2025-09-18,0,2,2,4,6,14,0.0,9496.62,640.09,0.0,0.0,1201.2,0.0,0.0,640.09,11337.910000000002,0,0,WAIT_AND_MONITOR
CONT1000047,BOL2024100047,Shanghai,Los Angeles,PacificLine,STANDARD_OCEAN,48,28426.72,MEDIUM,2025-05-03,2025-06-06,2025-06-09,3,2025-06-12,2025-06-18,2025-06-14,2025-06-09,2025-06-19,2025-05-02,2025-04-30,2025-05-03,2025-06-09,0,3,2,4,1,10,324.37,5130.36,0.0,0.0,0.0,704.36,0.0,0.0,324.37,6159.089999999999,0,0,WAIT_AND_MONITOR
CONT1000048,BOL2024100048,Shanghai,Savannah,BlueWave,STANDARD_OCEAN,25,60381.1,MEDIUM,2024-07-09,2024-07-29,2024-07-31,2,2024-08-06,2024-08-14,2024-08-10,2024-07-31,2024-08-23,2024-07-07,2024-07-03,2024-07-09,2024-08-01,1,5,4,4,9,23,0.0,3239.5,293.71,0.0,0.0,301.13,0.0,0.0,293.71,3834.34,0,0,WAIT_AND_MONITOR
CONT1000049,BOL2024100049,Singapore,Long Beach,NorthStar,STANDARD_OCEAN,71,31820.07,LOW,2024-05-02,2024-06-07,2024-06-13,6,2024-06-16,2024-06-20,2024-06-18,2024-06-13,2024-06-30,2024-04-29,2024-04-23,2024-05-02,2024-06-14,1,2,2,2,10,17,0.0,4393.04,170.43,0.0,0.0,891.94,0.0,207.01,377.44,5662.42,0,0,WAIT_AND_MONITOR
CONT1000050,BOL2024100050,Ho Chi Minh,Savannah,BlueWave,PREMIUM_OCEAN,88,369166.23,HIGH,2025-09-26,2025-10-12,2025-10-12,0,2025-10-19,2025-10-25,2025-10-24,2025-10-12,2025-10-27,2025-09-25,2025-09-18,2025-09-26,2025-10-15,3,4,5,1,2,15,0.0,6041.74,0.0,0.0,0.0,805.92,514.36,0.0,514.36,7362.0199999999995,0,0,WAIT_AND_MONITOR
CONT1000051,BOL2024100051,Yantian,Long Beach,GlobalMar,STANDARD_OCEAN,109,48869.05,MEDIUM,2024-09-01,2024-09-27,2024-10-02,5,2024-10-05,2024-10-08,2024-10-08,2024-10-02,2024-10-11,2024-08-29,2024-08-27,2024-09-01,2024-10-03,1,2,3,0,3,9,0.0,2994.47,0.0,0.0,0.0,581.07,630.34,43.93,674.27,4249.8099999999995,0,0,WAIT_AND_MONITOR
CONT1000052,BOL2024100052,Ningbo,Houston,GlobalMar,STANDARD_OCEAN,26,46398.89,LOW,2025-04-13,2025-05-11,2025-05-13,2,2025-05-16,2025-05-16,2025-05-16,2025-05-13,2025-05-23,2025-04-11,2025-04-05,2025-04-13,2025-05-16,3,0,0,0,7,10,0.0,4529.78,410.94,0.0,0.0,852.18,1080.42,0.0,1491.3600000000001,6873.32,1,0,WAIT_AND_MONITOR
CONT1000053,BOL2024100053,Shanghai,New York/New Jersey,PacificLine,STANDARD_OCEAN,62,46356.15,LOW,2025-07-30,2025-08-20,2025-08-28,8,2025-09-01,2025-09-03,2025-09-01,2025-08-28,2025-09-12,2025-07-28,2025-07-26,2025-07-30,2025-08-29,1,3,0,2,9,15,0.0,4016.61,0.0,508.03,371.76,722.04,0.0,144.1,1023.89,5762.54,1,1,WAIT_AND_MONITOR
CONT1000054,BOL2024100054,Ho Chi Minh,Seattle,OceanBridge,PREMIUM_OCEAN,102,24519.9,LOW,2024-12-23,2025-01-08,2025-01-08,0,2025-01-13,2025-01-20,2025-01-17,2025-01-08,2025-01-27,2024-12-20,2024-12-17,2024-12-23,2025-01-11,3,2,4,3,7,19,0.0,6697.15,606.98,0.0,0.0,1413.12,0.0,0.0,606.98,8717.25,0,0,WAIT_AND_MONITOR
CONT1000055,BOL2024100055,Yantian,Long Beach,NorthStar,STANDARD_OCEAN,85,122256.62,MEDIUM,2025-07-10,2025-08-19,2025-08-31,12,2025-09-08,2025-09-12,2025-09-11,2025-08-31,2025-09-15,2025-07-07,2025-07-04,2025-07-10,2025-09-03,3,5,3,1,3,15,0.0,3576.48,0.0,1261.58,655.82,627.77,0.0,0.0,1917.4,6121.65,1,1,PRE_PULL_OR_PRIORITY_DRAYAGE
CONT1000056,BOL2024100056,Ho Chi Minh,Houston,PacificLine,STANDARD_OCEAN,84,49145.96,HIGH,2024-01-09,2024-02-17,2024-02-17,0,2024-02-25,2024-02-29,2024-02-28,2024-02-17,2024-03-09,2024-01-08,2024-01-02,2024-01-09,2024-02-20,3,5,3,1,9,21,0.0,2664.08,372.8,0.0,0.0,566.94,446.15,0.0,818.95,4049.9700000000003,1,0,WAIT_AND_MONITOR
CONT1000057,BOL2024100057,Singapore,Los Angeles,OceanBridge,STANDARD_OCEAN,35,110604.49,LOW,2024-09-27,2024-10-18,2024-10-18,0,2024-10-23,2024-10-27,2024-10-24,2024-10-18,2024-11-04,2024-09-24,2024-09-18,2024-09-27,2024-10-18,0,5,1,3,8,17,0.0,3713.82,433.15,0.0,0.0,508.6,587.85,0.0,1021.0,5243.42,1,0,WAIT_AND_MONITOR
CONT1000058,BOL2024100058,Singapore,Savannah,OceanBridge,STANDARD_OCEAN,61,55422.45,LOW,2024-10-05,2024-11-01,2024-11-10,9,2024-11-15,2024-11-17,2024-11-17,2024-11-10,2024-11-27,2024-10-02,2024-10-02,2024-10-05,2024-11-11,1,4,2,0,10,17,0.0,3971.33,0.0,0.0,578.37,767.4,0.0,0.0,578.37,5317.099999999999,0,1,WAIT_AND_MONITOR
CONT1000059,BOL2024100059,Singapore,Seattle,OceanBridge,STANDARD_OCEAN,137,110000.81,HIGH,2025-10-11,2025-11-06,2025-11-09,3,2025-11-09,2025-11-15,2025-11-11,2025-11-09,2025-11-20,2025-10-09,2025-10-02,2025-10-11,2025-11-09,0,0,2,4,5,11,256.0,2918.36,128.93,0.0,0.0,610.99,917.75,0.0,1302.68,4832.030000000001,1,0,WAIT_AND_MONITOR
