container_id,bol,origin_port,destination_port,carrier,mode,sku_count,container_value_usd,criticality,planned_departure_date,planned_arrival_date,actual_arrival_date,delay_days
CONT1000025,BOL2024100025,Ho Chi Minh,Long Beach,PacificLine,STANDARD_OCEAN,84,17669.1,LOW,2024-04-18,2024-05-26,2024-05-29,3
CONT1000026,BOL2024100026,Singapore,Savannah,PacificLine,STANDARD_OCEAN,49,171919.76,LOW,2024-07-22,2024-08-13,2024-08-26,13
CONT1000027,BOL2024100027,Ho Chi Minh,Savannah,BlueWave,STANDARD_OCEAN,133,35177.99,HIGH,2025-09-05,2025-10-03,2025-10-03,0
CONT1000028,BOL2024100028,Shanghai,Los Angeles,GlobalMar,PREMIUM_OCEAN,69,67074.76,LOW,2024-11-10,2024-12-01,2024-12-08,7
CONT1000029,BOL2024100029,Ho Chi Minh,Los Angeles,BlueWave,STANDARD_OCEAN,40,95394.78,LOW,2025-05-12,2025-06-01,2025-06-08,7
CONT1000030,BOL2024100030,Ningbo,Houston,NorthStar,STANDARD_OCEAN,116,32485.08,HIGH,2025-07-16,2025-08-08,2025-08-18,10
CONT1000031,BOL2024100031,Ningbo,Savannah,OceanBridge,STANDARD_OCEAN,103,36277.51,MEDIUM,2024-11-15,2024-12-15,2024-12-17,2
CONT1000032,BOL2024100032,Busan,Savannah,NorthStar,STANDARD_OCEAN,65,104033.05,LOW,2024-05-03,2024-05-28,2024-05-28,0
CONT1000033,BOL2024100033,Shanghai,Seattle,BlueWave,STANDARD_OCEAN,66,60226.46,LOW,2025-08-25,2025-09-29,2025-09-29,0
CONT1000034,BOL2024100034,Ho Chi Minh,Long Beach,BlueWave,STANDARD_OCEAN,23,49096.77,MEDIUM,2024-03-13,2024-04-22,2024-05-08,16
CONT1000035,BOL2024100035,Ningbo,Los Angeles,BlueWave,PREMIUM_OCEAN,79,85382.8,HIGH,2024-12-04,2024-12-20,2024-12-20,0
CONT1000036,BOL2024100036,Singapore,New York/New Jersey,OceanBridge,STANDARD_OCEAN,129,53666.62,HIGH,2025-07-06,2025-07-28,2025-08-01,4
CONT1000037,BOL2024100037,Ningbo,New York/New Jersey,NorthStar,STANDARD_OCEAN,118,70690.81,LOW,2024-07-13,2024-08-03,2024-08-12,9
CONT1000038,BOL2024100038,Yantian,New York/New Jersey,NorthStar,STANDARD_OCEAN,21,57561.44,MEDIUM,2025-04-23,2025-06-03,2025-06-12,9
CONT1000039,BOL2024100039,Singapore,Houston,BlueWave,STANDARD_OCEAN,94,23819.61,MEDIUM,2024-03-03,2024-04-02,2024-04-02,0
CONT1000040,BOL2024100040,Shanghai,Long Beach,OceanBridge,STANDARD_OCEAN,43,125899.11,HIGH,2024-07-13,2024-08-17,2024-09-06,20
CONT1000041,BOL2024100041,Busan,Long Beach,GlobalMar,STANDARD_OCEAN,27,38879.52,LOW,2025-04-18,2025-05-13,2025-05-21,8
CONT1000042,BOL2024100042,Busan,Savannah,BlueWave,STANDARD_OCEAN,11,198014.01,MEDIUM,2024-02-21,2024-03-30,2024-03-30,0
CONT1000043,BOL2024100043,Shanghai,Long Beach,OceanBridge,STANDARD_OCEAN,131,41130.31,LOW,2025-02-20,2025-03-25,2025-03-29,4
CONT1000044,BOL2024100044,Ningbo,New York/New Jersey,BlueWave,PREMIUM_OCEAN,75,65689.89,HIGH,2024-06-17,2024-07-13,2024-07-16,3
CONT1000045,BOL2024100045,Busan,Seattle,NorthStar,PREMIUM_OCEAN,56,68007.78,LOW,2025-07-23,2025-08-21,2025-08-21,0
CONT1000046,BOL2024100046,Yantian,Long Beach,BlueWave,PREMIUM_OCEAN,88,22355.86,LOW,2025-08-16,2025-09-16,2025-09-18,2
CONT1000047,BOL2024100047,Shanghai,Los Angeles,PacificLine,STANDARD_OCEAN,48,28426.72,MEDIUM,2025-05-03,2025-06-06,2025-06-09,3
CONT1000048,BOL2024100048,Shanghai,Savannah,BlueWave,STANDARD_OCEAN,25,60381.1,MEDIUM,2024-07-09,2024-07-29,2024-07-31,2
CONT1000049,BOL2024100049,Singapore,Long Beach,NorthStar,STANDARD_OCEAN,71,31820.07,LOW,2024-05-02,2024-06-07,2024-06-13,6
CONT1000050,BOL2024100050,Ho Chi Minh,Savannah,BlueWave,PREMIUM_OCEAN,88,369166.23,HIGH,2025-09-26,2025-10-12,2025-10-12,0
CONT1000051,BOL2024100051,Yantian,Long Beach,GlobalMar,STANDARD_OCEAN,109,48869.05,MEDIUM,2024-09-01,2024-09-27,2024-10-02,5
CONT1000052,BOL2024100052,Ningbo,Houston,GlobalMar,STANDARD_OCEAN,26,46398.89,LOW,2025-04-13,2025-05-11,2025-05-13,2
CONT1000053,BOL2024100053,Shanghai,New York/New Jersey,PacificLine,STANDARD_OCEAN,62,46356.15,LOW,2025-07-30,2025-08-20,2025-08-28,8
CONT1000054,BOL2024100054,Ho Chi Minh,Seattle,OceanBridge,PREMIUM_OCEAN,102,24519.9,LOW,2024-12-23,2025-01-08,2025-01-08,0
CONT1000055,BOL2024100055,Yantian,Long Beach,NorthStar,STANDARD_OCEAN,85,122256.62,MEDIUM,2025-07-10,2025-08-19,2025-08-31,12
CONT1000056,BOL2024100056,Ho Chi Minh,Houston,PacificLine,STANDARD_OCEAN,84,49145.96,HIGH,2024-01-09,2024-02-17,2024-02-17,0
CONT1000057,BOL2024100057,Singapore,Los Angeles,OceanBridge,STANDARD_OCEAN,35,110604.49,LOW,2024-09-27,2024-10-18,2024-10-18,0
CONT1000058,BOL2024100058,Singapore,Savannah,OceanBridge,STANDARD_OCEAN,61,55422.45,LOW,2024-10-05,2024-11-01,2024-11-10,9
CONT1000059,BOL2024100059,Singapore,Seattle,OceanBridge,STANDARD_OCEAN,137,110000.81,HIGH,2025-10-11,2025-11-06,2025-11-09,3
CONT1000060,BOL2024100060,Busan,Seattle,BlueWave,STANDARD_OCEAN,78,30054.92,LOW,2024-04-04,2024-05-12,2024-05-30,18
CONT1000061,BOL2024100061,Shanghai,Los Angeles,GlobalMar,STANDARD_OCEAN,49,124194.37,LOW,2024-05-13,2024-06-20,2024-07-03,13
CONT1000062,BOL2024100062,Singapore,New York/New Jersey,PacificLine,STANDARD_OCEAN,10,22330.73,MEDIUM,2025-03-13,2025-04-17,2025-04-18,1
CONT1000063,BOL2024100063,Shanghai,Los Angeles,OceanBridge,STANDARD_OCEAN,102,34333.76,MEDIUM,2025-07-12,2025-07-31,2025-08-02,2
CONT1000064,BOL2024100064,Ho Chi Minh,Savannah,OceanBridge,STANDARD_OCEAN,86,57191.29,HIGH,2025-03-16,2025-04-07,2025-04-13,6
CONT1000065,BOL2024100065,Yantian,Los Angeles,GlobalMar,STANDARD_OCEAN,71,47541.21,LOW,2024-08-03,2024-09-11,2024-09-17,6
CONT1000066,BOL2024100066,Singapore,Los Angeles,GlobalMar,STANDARD_OCEAN,47,15159.03,MEDIUM,2025-07-27,2025-08-27,2025-09-08,12
CONT1000067,BOL2024100067,Ningbo,Long Beach,OceanBridge,STANDARD_OCEAN,53,49720.82,HIGH,2025-02-26,2025-03-16,2025-03-18,2
CONT1000068,BOL2024100068,Singapore,Seattle,NorthStar,PREMIUM_OCEAN,105,70776.42,LOW,2024-09-11,2024-10-03,2024-10-10,7
CONT1000069,BOL2024100069,Shanghai,New York/New Jersey,OceanBridge,STANDARD_OCEAN,97,61066.75,MEDIUM,2024-07-23,2024-08-24,2024-08-28,4
CONT1000070,BOL2024100070,Yantian,Long Beach,OceanBridge,STANDARD_OCEAN,57,62050.49,LOW,2024-01-25,2024-03-04,2024-03-10,6
CONT1000071,BOL2024100071,Busan,Seattle,GlobalMar,STANDARD_OCEAN,79,84041.46,LOW,2024-03-12,2024-04-23,2024-04-23,0
CONT1000072,BOL2024100072,Yantian,Houston,PacificLine,PREMIUM_OCEAN,37,69385.3,LOW,2025-02-13,2025-03-16,2025-04-01,16
CONT1000073,BOL2024100073,Yantian,Long Beach,PacificLine,PREMIUM_OCEAN,119,74759.28,MEDIUM,2024-09-28,2024-10-13,2024-10-13,0
CONT1000074,BOL2024100074,Yantian,Houston,GlobalMar,STANDARD_OCEAN,138,41291.89,LOW,2025-03-22,2025-04-28,2025-05-03,5
CONT1000075,BOL2024100075,Shanghai,New York/New Jersey,PacificLine,STANDARD_OCEAN,19,34692.35,MEDIUM,2024-07-13,2024-08-08,2024-08-08,0
CONT1000076,BOL2024100076,Singapore,New York/New Jersey,BlueWave,STANDARD_OCEAN,58,62666.98,MEDIUM,2025-06-16,2025-07-21,2025-08-10,20
CONT1000077,BOL2024100077,Yantian,New York/New Jersey,BlueWave,STANDARD_OCEAN,88,117446.4,LOW,2024-12-04,2025-01-10,2025-01-10,0
CONT1000078,BOL2024100078,Singapore,Los Angeles,GlobalMar,STANDARD_OCEAN,112,32531.09,LOW,2025-06-03,2025-06-30,2025-07-05,5
CONT1000079,BOL2024100079,Yantian,New York/New Jersey,GlobalMar,STANDARD_OCEAN,57,49617.68,LOW,2025-07-21,2025-08-12,2025-08-14,2
CONT1000080,BOL2024100080,Busan,Houston,NorthStar,STANDARD_OCEAN,85,20453.21,LOW,2024-06-27,2024-08-03,2024-08-03,0
CONT1000081,BOL2024100081,Busan,Savannah,BlueWave,PREMIUM_OCEAN,90,93719.47,HIGH,2024-11-07,2024-11-30,2024-12-05,5
CONT1000082,BOL2024100082,Busan,New York/New Jersey,NorthStar,STANDARD_OCEAN,51,40620.73,MEDIUM,2024-08-06,2024-09-09,2024-09-27,18
CONT1000083,BOL2024100083,Singapore,Los Angeles,GlobalMar,STANDARD_OCEAN,93,43195.54,LOW,2025-06-11,2025-07-20,2025-08-06,17
CONT1000084,BOL2024100084,Shanghai,Long Beach,GlobalMar,STANDARD_OCEAN,45,103053.79,MEDIUM,2024-08-18,2024-09-11,2024-09-18,7
CONT1000085,BOL2024100085,Shanghai,Los Angeles,OceanBridge,STANDARD_OCEAN,26,57052.21,LOW,2025-05-01,2025-06-07,2025-06-08,1
CONT1000086,BOL2024100086,Busan,New York/New Jersey,PacificLine,STANDARD_OCEAN,106,44664.12,HIGH,2024-07-18,2024-08-27,2024-09-16,20
CONT1000087,BOL2024100087,Busan,New York/New Jersey,OceanBridge,STANDARD_OCEAN,9,55460.41,HIGH,2024-05-31,2024-07-08,2024-07-20,12
CONT1000088,BOL2024100088,Shanghai,New York/New Jersey,OceanBridge,STANDARD_OCEAN,126,49061.9,MEDIUM,2024-06-29,2024-08-08,2024-08-28,20
CONT1000089,BOL2024100089,Shanghai,Savannah,OceanBridge,STANDARD_OCEAN,42,75884.67,HIGH,2024-05-04,2024-06-05,2024-06-06,1
CONT1000090,BOL2024100090,Busan,Houston,PacificLine,STANDARD_OCEAN,89,33217.59,LOW,2025-07-26,2025-09-01,2025-09-01,0
CONT1000091,BOL2024100091,Busan,Savannah,PacificLine,STANDARD_OCEAN,122,54141.81,HIGH,2025-03-12,2025-04-16,2025-04-16,0
CONT1000092,BOL2024100092,Ningbo,Houston,NorthStar,STANDARD_OCEAN,71,121455.39,LOW,2025-04-05,2025-05-01,2025-05-01,0
CONT1000093,BOL2024100093,Singapore,Seattle,PacificLine,PREMIUM_OCEAN,120,37978.61,LOW,2025-05-11,2025-06-01,2025-06-01,0
CONT1000094,BOL2024100094,Shanghai,Houston,GlobalMar,PREMIUM_OCEAN,89,93398.43,LOW,2024-08-28,2024-09-19,2024-09-19,0
CONT1000095,BOL2024100095,Ho Chi Minh,Los Angeles,OceanBridge,PREMIUM_OCEAN,47,27018.81,HIGH,2024-06-03,2024-06-24,2024-06-24,0
CONT1000096,BOL2024100096,Singapore,Long Beach,BlueWave,STANDARD_OCEAN,92,45516.92,HIGH,2025-02-28,2025-03-31,2025-04-03,3
CONT1000097,BOL2024100097,Ho Chi Minh,New York/New Jersey,NorthStar,PREMIUM_OCEAN,107,18406.92,HIGH,2024-03-04,2024-03-24,2024-03-24,0
CONT1000098,BOL2024100098,Ho Chi Minh,Houston,BlueWave,PREMIUM_OCEAN,9,23895.53,MEDIUM,2025-08-12,2025-09-07,2025-09-07,0
CONT1000099,BOL2024100099,Yantian,Seattle,NorthStar,STANDARD_OCEAN,64,136771.84,LOW,2025-03-05,2025-04-09,2025-04-10,1
CONT1000100,BOL2024100100,Busan,Long Beach,GlobalMar,STANDARD_OCEAN,15,116475.64,HIGH,2025-03-22,2025-04-24,2025-05-07,13
CONT1000101,BOL2024100101,Busan,Seattle,NorthStar,STANDARD_OCEAN,40,71883.63,LOW,2024-06-18,2024-07-20,2024-07-26,6
CONT1000102,BOL2024100102,Ho Chi Minh,Savannah,BlueWave,STANDARD_OCEAN,14,16859.9,LOW,2025-02-07,2025-03-15,2025-03-20,5
CONT1000103,BOL2024100103,Shanghai,Houston,NorthStar,STANDARD_OCEAN,54,13440.45,HIGH,2024-05-18,2024-06-19,2024-06-21,2
CONT1000104,BOL2024100104,Shanghai,Seattle,NorthStar,STANDARD_OCEAN,124,43021.22,MEDIUM,2024-12-01,2024-12-25,2024-12-25,0
CONT1000105,BOL2024100105,Yantian,Seattle,NorthStar,PREMIUM_OCEAN,28,20077.24,MEDIUM,2024-10-11,2024-11-07,2024-11-09,2
CONT1000106,BOL2024100106,Busan,Los Angeles,PacificLine,STANDARD_OCEAN,65,26451.45,LOW,2024-02-23,2024-03-23,2024-03-27,4
CONT1000107,BOL2024100107,Singapore,Los Angeles,BlueWave,STANDARD_OCEAN,59,37210.71,HIGH,2024-02-01,2024-02-26,2024-03-07,10
CONT1000108,BOL2024100108,Shanghai,Savannah,OceanBridge,STANDARD_OCEAN,129,28678.99,LOW,2024-09-01,2024-09-23,2024-09-23,0
CONT1000109,BOL2024100109,Singapore,Los Angeles,PacificLine,STANDARD_OCEAN,73,39920.97,LOW,2024-08-11,2024-09-12,2024-09-12,0
CONT1000110,BOL2024100110,Yantian,Long Beach,PacificLine,STANDARD_OCEAN,37,49895.64,MEDIUM,2025-09-13,2025-10-24,2025-10-25,1
CONT1000111,BOL2024100111,Ningbo,Seattle,BlueWave,PREMIUM_OCEAN,104,31533.32,LOW,2025-08-15,2025-08-29,2025-08-30,1
CONT1000112,BOL2024100112,Busan,Houston,OceanBridge,STANDARD_OCEAN,70,12505.74,LOW,2024-03-18,2024-04-23,2024-04-24,1
CONT1000113,BOL2024100113,Shanghai,Houston,GlobalMar,STANDARD_OCEAN,18,25761.47,MEDIUM,2025-09-06,2025-09-27,2025-10-04,7
CONT1000114,BOL2024100114,Yantian,Savannah,NorthStar,STANDARD_OCEAN,137,26224.59,MEDIUM,2025-01-14,2025-02-03,2025-02-03,0
CONT1000115,BOL2024100115,Singapore,Seattle,BlueWave,STANDARD_OCEAN,35,43205.15,LOW,2025-03-06,2025-04-08,2025-04-08,0
CONT1000116,BOL2024100116,Busan,Seattle,NorthStar,STANDARD_OCEAN,53,72034.6,LOW,2024-06-05,2024-07-06,2024-07-13,7
CONT1000117,BOL2024100117,Singapore,Savannah,GlobalMar,STANDARD_OCEAN,131,77496.88,LOW,2025-09-22,2025-10-27,2025-11-08,12
CONT1000118,BOL2024100118,Busan,New York/New Jersey,PacificLine,STANDARD_OCEAN,70,20732.55,LOW,2024-10-01,2024-10-29,2024-10-29,0
CONT1000119,BOL2024100119,Shanghai,Seattle,NorthStar,STANDARD_OCEAN,126,47574.44,LOW,2024-09-06,2024-10-18,2024-10-19,1
CONT1000120,BOL2024100120,Ho Chi Minh,Savannah,NorthStar,STANDARD_OCEAN,134,33930.89,LOW,2024-12-10,2024-12-28,2024-12-28,0
CONT1000121,BOL2024100121,Yantian,Long Beach,NorthStar,STANDARD_OCEAN,74,64637.71,LOW,2024-08-05,2024-09-03,2024-09-03,0
CONT1000122,BOL2024100122,Yantian,Seattle,PacificLine,STANDARD_OCEAN,10,67202.46,LOW,2024-10-09,2024-11-13,2024-11-13,0
CONT1000123,BOL2024100123,Ho Chi Minh,Long Beach,BlueWave,STANDARD_OCEAN,112,108097.26,HIGH,2024-09-04,2024-10-15,2024-10-26,11
CONT1000124,BOL2024100124,Busan,Savannah,OceanBridge,STANDARD_OCEAN,133,16437.41,LOW,2025-05-02,2025-06-09,2025-06-09,0
CONT1000125,BOL2024100125,Busan,Los Angeles,BlueWave,STANDARD_OCEAN,111,68785.96,LOW,2024-10-28,2024-11-22,2024-11-22,0
CONT1000126,BOL2024100126,Singapore,Long Beach,GlobalMar,STANDARD_OCEAN,129,45527.38,MEDIUM,2025-08-18,2025-09-16,2025-09-18,2
CONT1000127,BOL2024100127,Ho Chi Minh,Savannah,GlobalMar,STANDARD_OCEAN,92,67382.33,LOW,2025-03-11,2025-04-21,2025-04-21,0
CONT1000128,BOL2024100128,Yantian,Houston,NorthStar,STANDARD_OCEAN,72,28615.61,MEDIUM,2024-10-04,2024-10-31,2024-10-31,0
CONT1000129,BOL2024100129,Ningbo,Los Angeles,OceanBridge,PREMIUM_OCEAN,57,46591.19,HIGH,2024-11-19,2024-12-06,2024-12-07,1
CONT1000130,BOL2024100130,Ningbo,Houston,NorthStar,STANDARD_OCEAN,80,51017.88,MEDIUM,2024-10-10,2024-11-20,2024-11-26,6
CONT1000131,BOL2024100131,Shanghai,Long Beach,GlobalMar,STANDARD_OCEAN,53,37216.91,LOW,2024-08-20,2024-09-18,2024-09-21,3
CONT1000132,BOL2024100132,Yantian,Los Angeles,PacificLine,STANDARD_OCEAN,19,37074.59,MEDIUM,2024-05-09,2024-06-04,2024-06-10,6
CONT1000133,BOL2024100133,Shanghai,Savannah,GlobalMar,STANDARD_OCEAN,133,13007.98,LOW,2024-05-09,2024-06-16,2024-06-16,0
CONT1000134,BOL2024100134,Shanghai,Los Angeles,PacificLine,STANDARD_OCEAN,130,39320.24,MEDIUM,2024-10-18,2024-11-20,2024-11-24,4
CONT1000135,BOL2024100135,Busan,Seattle,OceanBridge,STANDARD_OCEAN,130,51938.61,HIGH,2024-02-22,2024-03-19,2024-03-19,0
CONT1000136,BOL2024100136,Shanghai,Los Angeles,NorthStar,STANDARD_OCEAN,21,35298.36,LOW,2025-05-18,2025-06-07,2025-06-10,3
CONT1000137,BOL2024100137,Ningbo,Long Beach,PacificLine,STANDARD_OCEAN,71,55387.06,HIGH,2024-11-07,2024-11-27,2024-11-29,2
CONT1000138,BOL2024100138,Shanghai,Savannah,NorthStar,STANDARD_OCEAN,65,34108.04,MEDIUM,2025-09-12,2025-10-19,2025-10-20,1
CONT1000139,BOL2024100139,Ho Chi Minh,New York/New Jersey,NorthStar,PREMIUM_OCEAN,86,34733.13,LOW,2025-03-29,2025-04-21,2025-04-24,3
CONT1000140,BOL2024100140,Ho Chi Minh,Savannah,BlueWave,STANDARD_OCEAN,33,93489.16,MEDIUM,2025-09-16,2025-10-27,2025-10-31,4
CONT1000141,BOL2024100141,Ningbo,Houston,OceanBridge,STANDARD_OCEAN,28,33453.01,LOW,2024-09-27,2024-11-05,2024-11-05,0
CONT1000142,BOL2024100142,Ningbo,Long Beach,OceanBridge,STANDARD_OCEAN,48,43020.35,LOW,2025-07-19,2025-08-08,2025-08-14,6
CONT1000143,BOL2024100143,Shanghai,New York/New Jersey,NorthStar,STANDARD_OCEAN,82,45515.29,MEDIUM,2025-08-31,2025-10-03,2025-10-04,1
CONT1000144,BOL2024100144,Shanghai,Long Beach,GlobalMar,PREMIUM_OCEAN,67,50168.18,MEDIUM,2024-10-16,2024-11-13,2024-11-18,5
CONT1000145,BOL2024100145,Yantian,Houston,PacificLine,STANDARD_OCEAN,37,125210.98,MEDIUM,2024-07-21,2024-08-21,2024-08-21,0
CONT1000146,BOL2024100146,Ho Chi Minh,Long Beach,OceanBridge,PREMIUM_OCEAN,23,41390.94,HIGH,2024-09-29,2024-10-17,2024-10-17,0
CONT1000147,BOL2024100147,Ningbo,Seattle,PacificLine,PREMIUM_OCEAN,39,59170.24,LOW,2025-08-05,2025-08-28,2025-09-05,8
CONT1000148,BOL2024100148,Busan,Houston,GlobalMar,STANDARD_OCEAN,136,17851.25,LOW,2025-02-16,2025-03-14,2025-03-14,0
CONT1000149,BOL2024100149,Ho Chi Minh,New York/New Jersey,NorthStar,PREMIUM_OCEAN,90,28277.99,LOW,2024-03-23,2024-04-07,2024-04-10,3
CONT1000150,BOL2024100150,Ho Chi Minh,Seattle,BlueWave,STANDARD_OCEAN,13,38177.52,MEDIUM,2024-04-03,2024-04-28,2024-04-28,0
CONT1000151,BOL2024100151,Singapore,Seattle,PacificLine,STANDARD_OCEAN,52,16079.53,HIGH,2024-02-11,2024-03-24,2024-03-30,6
CONT1000152,BOL2024100152,Busan,Savannah,NorthStar,STANDARD_OCEAN,119,24134.82,MEDIUM,2024-10-11,2024-11-03,2024-11-18,15
CONT1000153,BOL2024100153,Singapore,New York/New Jersey,BlueWave,PREMIUM_OCEAN,93,48151.5,MEDIUM,2025-04-26,2025-05-21,2025-05-21,0
CONT1000154,BOL2024100154,Yantian,Houston,BlueWave,STANDARD_OCEAN,134,32834.25,HIGH,2024-06-13,2024-07-11,2024-07-23,12
CONT1000155,BOL2024100155,Yantian,Houston,NorthStar,STANDARD_OCEAN,124,10273.85,MEDIUM,2025-07-17,2025-08-05,2025-08-12,7
CONT1000156,BOL2024100156,Shanghai,Seattle,GlobalMar,STANDARD_OCEAN,111,36159.95,MEDIUM,2024-11-27,2024-12-18,2024-12-19,1
CONT1000157,BOL2024100157,Ho Chi Minh,Los Angeles,PacificLine,PREMIUM_OCEAN,56,21384.11,LOW,2025-04-18,2025-05-15,2025-05-20,5
CONT1000158,BOL2024100158,Ho Chi Minh,Seattle,PacificLine,STANDARD_OCEAN,21,89264.16,LOW,2025-05-25,2025-07-02,2025-07-20,18
CONT1000159,BOL2024100159,Ningbo,Seattle,PacificLine,STANDARD_OCEAN,120,41287.3,LOW,2024-05-14,2024-06-10,2024-06-12,2
CONT1000160,BOL2024100160,Singapore,New York/New Jersey,BlueWave,STANDARD_OCEAN,69,36092.8,LOW,2024-01-30,2024-03-08,2024-03-09,1
CONT1000161,BOL2024100161,Singapore,Long Beach,GlobalMar,PREMIUM_OCEAN,31,25491.51,HIGH,2025-07-18,2025-08-01,2025-08-08,7
CONT1000162,BOL2024100162,Ningbo,Los Angeles,NorthStar,STANDARD_OCEAN,47,22289.87,HIGH,2024-04-30,2024-06-07,2024-06-10,3
CONT1000163,BOL2024100163,Busan,Houston,GlobalMar,PREMIUM_OCEAN,131,28311.75,MEDIUM,2025-06-05,2025-06-27,2025-06-27,0
CONT1000164,BOL2024100164,Busan,Long Beach,NorthStar,STANDARD_OCEAN,106,116440.63,LOW,2025-07-18,2025-08-09,2025-08-09,0
CONT1000165,BOL2024100165,Ningbo,Savannah,PacificLine,STANDARD_OCEAN,78,43607.0,LOW,2024-05-19,2024-06-08,2024-06-13,5
CONT1000166,BOL2024100166,Busan,Seattle,PacificLine,STANDARD_OCEAN,80,17316.37,LOW,2024-09-30,2024-10-18,2024-10-21,3
CONT1000167,BOL2024100167,Singapore,Seattle,PacificLine,STANDARD_OCEAN,133,46884.84,LOW,2025-08-16,2025-09-24,2025-09-24,0
CONT1000168,BOL2024100168,Ningbo,New York/New Jersey,PacificLine,STANDARD_OCEAN,93,25897.33,HIGH,2025-05-10,2025-06-08,2025-06-11,3
CONT1000169,BOL2024100169,Ho Chi Minh,Savannah,NorthStar,STANDARD_OCEAN,69,59267.45,MEDIUM,2025-04-11,2025-05-09,2025-05-18,9
CONT1000170,BOL2024100170,Ho Chi Minh,New York/New Jersey,OceanBridge,STANDARD_OCEAN,89,76151.5,HIGH,2025-02-24,2025-03-15,2025-03-19,4
